City,Country,Population Growth,City Population,Agglomeration Population
Москва,Россия,4.5,13,17.5
Стамбул,Турция,0.5,15,15.5
Париж,Франция,8.8,2.2,11
Лондон,Великобритания,2,8.8,10.8
Милан,Италия,6.2,1.1,7.3
Санкт-Петербург,Россия,1.2,5.6,6.8
Мадрид,Испания,2.4,3.3,6.7
Рур,Германия,6,0,6
Барселона,Испания,2.3,2.7,5
Берлин,Германия,1.5,3.7,5
Рим,Италия,2,2.3,4.3
Киев,Украина,0.5,3,3.5
Будапешт,Венгрия,1.7,1.6,3.3
Варшава,Польша,1,2.1,3.1
Мюнхен,Германия,1.2,1.8,3
Белград,Сербия,0.8,1.5,2.3
Вена,Австрия,0.5,1.9,2.6
Минск,Белоруссия,0.1,2.5,2.6
Гамбург,Германия,0.5,1.9,2.5
Турин,Италия,1,0.9,1.9
