Страна,Самый населенный город,Население,Население с агломерацией
Албания,Тирана,0.4,0.8
Андорра,Андорра-ла-Велья,0.02,0.02
Австрия,Вена,1.9,2.6
Беларусь,Минск,2.0,2.0
Бельгия,Брюссель,1.2,2.1
Босния и Герцеговина,Сараево,0.3,0.6
Болгария,София,1.2,1.7
Ватикан,Ватикан,0.001,0.001
Великобритания,Лондон,9.0,14.4
Венгрия,Будапешт,1.8,3.3
Германия,Берлин,3.8,6.1
Греция,Афины,0.7,3.2
Дания,Копенгаген,0.8,1.3
Ирландия,Дублин,1.2,1.9
Исландия,Рейкьявик,0.1,0.2
Испания,Мадрид,3.2,6.6
Италия,Рим,2.9,4.4
Казахстан,Алматы,2.0,3.0
Кипр,Никосия,0.2,0.3
Косово,Приштина,0.2,0.5
Латвия,Рига,0.6,1.0
Лихтенштейн,Вадуц,0.01,0.01
Литва,Вильнюс,0.6,0.7
Люксембург,Люксембург,0.1,0.1
Мальта,Валлетта,0.01,0.4
Молдова,Кишинев,0.5,0.7
Монако,Монако,0.04,0.04
Нидерланды,Амстердам,0.9,2.5
Северная Македония,Скопье,0.5,0.5
Норвегия,Осло,0.7,1.5
Польша,Варшава,1.8,3.1
Португалия,Лиссабон,0.5,2.8
Румыния,Бухарест,1.8,2.4
Россия,Москва,12.7,17.0
Сан-Марино,Сан-Марино,0.01,0.01
Сербия,Белград,1.2,1.7
Словакия,Братислава,0.4,0.7
Словения,Любляна,0.3,0.5
Турция,Стамбул,15.5,15.5
Украина,Киев,3.0,3.5
Финляндия,Хельсинки,0.7,1.3
Франция,Париж,2.1,11.1
Хорватия,Загреб,0.8,1.1
Черногория,Подгорица,0.2,0.2
Чехия,Прага,1.3,2.7
Швейцария,Цюрих,0.4,1.4
Швеция,Стокгольм,1.0,2.4
Эстония,Таллин,0.4,0.4
