Город,Широта,Долгота
Стамбул,41.0082,28.9784
Москва,55.7558,37.6176
Лондон,51.5074,-0.1278
Санкт-Петербург,59.9343,30.3351
Берлин,52.5200,13.4050
Мадрид,40.4168,-3.7038
Киев,50.4501,30.5234
Рим,41.9028,12.4964
Париж,48.8566,2.3522
Минск,53.9045,27.5615
Вена,48.2082,16.3738
Гамбург,53.5511,9.9937
Бухарест,44.4268,26.1025
Варшава,52.2297,21.0122
Будапешт,47.4979,19.0402
Барселона,41.3851,2.1734
Мюнхен,48.1351,11.5820
Харьков,49.9935,36.2304
Белград,44.7866,20.4489
Милан,45.4642,9.1900
Казань,55.8304,49.0661
Прага,50.0755,14.4378
София,42.6977,23.3219
НижнийНовгород,56.2965,43.9361
Уфа,54.7388,55.9721
Самара,53.2415,50.2212
Бирмингем,52.4862,-1.8904
Ростов-на-Дону,47.2357,39.7015
Краснодар,45.0355,38.9753
Кёльн,50.9375,6.9603
Воронеж,51.6615,39.2003
Пермь,58.0105,56.2502
Волгоград,48.7080,44.5133
Одесса,46.4825,30.7233
