City,Country,Population
Стамбул,Турция,15
Москва,Россия,13
Лондон,Великобритания,9
Санкт-Петербург,Россия,6
Берлин,Германия,4
Мадрид,Испания,3
Киев,Украина,3
Рим,Италия,3
Париж,Франция,2
Минск,Белоруссия,2
Вена,Австрия,2
Гамбург,Германия,2
Бухарест,Румыния,2
Варшава,Польша,2
Будапешт,Венгрия,2
Барселона,Испания,2
Мюнхен,Германия,1
Харьков,Украина,1
Белград,Сербия,1
Милан,Италия,1
Казань,Россия,1
Прага,Чехия,1
София,Болгария,1
Нижний Новгород,Россия,1
Уфа,Россия,1
Самара,Россия,1
Бирмингем,Великобритания,1
Ростов-на-Дону,Россия,1
Краснодар,Россия,1
Кёльн,Германия,1
Воронеж,Россия,1
Пермь,Россия,1
Волгоград,Россия,1
Одесса,Украина,1
