Год,Страна
1916,Уругвай
1917,Уругвай
1919,Бразилия
1920,Уругвай
1921,Аргентина
1922,Бразилия
1923,Уругвай
1924,Уругвай
1925,Аргентина
1926,Уругвай
1927,Аргентина
1929,Уругвай
1935,Уругвай
1937,Аргентина
1939,Перу
1941,Аргентина
1942,Уругвай
1945,Аргентина
1946,Аргентина
1947,Аргентина
1949,Бразилия
1953,Парагвай
1955,Аргентина
1957,Аргентина
1959,Аргентина
1963,Боливия
1967,Уругвай
1975,Перу
1979,Парагвай
1983,Уругвай
1987,Уругвай
1989,Бразилия
1991,Аргентина
1993,Аргентина
1995,Уругвай
1997,Бразилия
1999,Бразилия
2001,Колумбия
2004,Бразилия
2007,Бразилия
2011,Уругвай
2015,Чили
2016,Чили
2019,Бразилия
2021,Аргентина
2024,Аргентина
