Год,Команда,Город,ВУЗ
1986,Одесские джентльмены,Одесса,ОГУ
1987,НГУ,Новосибирск,НГУ
1989,ХВВАИУ,Харьков,ХВВАИУ
1990,Одесские джентльмены,Одесса,ОГУ
1991,НГУ,Новосибирск,НГУ
1992,ЕрМИ,Ереван,ЕрМИ
1992,Парни из Баку,Баку,
1993,НГУ,Новосибирск,НГУ
1994,ЕрМИ,Ереван,ЕрМИ
1995,ХАИ,Харьков,ХАИ
1995,Эскадрон гусар,Москва,СГУ
1996,Махачкалинские бродяги,Махачкала,ДагГУ
1997,Запорожье — Кривой Рог — Транзит,Запорожье,ЗГМИ
1997,Новые армяне,Ереван,
1998,Дети лейтенанта Шмидта,Томск,
1999,БГУ,Минск,БГУ
2000,Уральские пельмени,Екатеринбург,УГТУ-УПИ
2001,БГУ,Минск,БГУ
2002,УЕздный город,Магнитогорск,Магнитогорск — Челябинск
2003,Утомлённые солнцем,Сочи,СГУТиКД
2004,Сборная Пятигорска,Пятигорск,
2005,Мегаполис,Москва,
2005,Нарты из Абхазии,Сухум,АГУ
2006,РУДН,Москва,РУДН
2007,Обычные люди,Москва,МЭИ
2008,МаксимуМ,Томск,ТГУ
2009,ПриМа,Курск,КГТУ
2010,Сборная Краснодарского края,Армавир,Армавир — Брюховецкая
2011,СОК,Самара,
2012,Триод и Диод,Смоленск,СФ МЭИ
2013,ГородЪ ПятигорскЪ,Пятигорск,
2014,Союз,Тюмень,
2015,Сборная Камызякского края,Астрахань,
2016,Азия MIX,Бишкек,
2017,Спарта,Астана,
2018,Вятка,Киров,СФУ
2018,Раисы,Иркутск,АГПУ
2019,Так-то,Красноярск,
2020,Русская дорога,Армавир,
2020,Сборная «Татнефти»,Альметьевск,
2021,Неудержимый Джо,Москва,
2021,Сборная Пермского края,Пермь,
2022,Имени меня,Королёв,
2022,Доктор Хаусс,Могилёв,
2023,Флэш-Рояль,Ростов-на-Дону,
